date,district,river,river_flow_cumecs,hydro_plant,plant_capacity_mw,generation_mw
2020-01-01,Kaski,Seti,20.52,Seti Hydropower,22.5,8.96
2020-01-02,Kaski,Seti,17.91,Seti Hydropower,22.5,8.32
2020-01-03,Kaski,Seti,21.85,Seti Hydropower,22.5,9.73
2020-01-04,Kaski,Seti,21.89,Seti Hydropower,22.5,9.16
2020-01-05,Kaski,Seti,17.01,Seti Hydropower,22.5,7.94
2020-01-06,Kaski,Seti,17.77,Seti Hydropower,22.5,8.27
2020-01-07,Kaski,Seti,21.01,Seti Hydropower,22.5,9.34
2020-01-08,Kaski,Seti,19.89,Seti Hydropower,22.5,8.8
2020-01-09,Kaski,Seti,20.26,Seti Hydropower,22.5,9.0
2020-01-10,Kaski,Seti,19.92,Seti Hydropower,22.5,8.98
2020-01-11,Kaski,Seti,22.07,Seti Hydropower,22.5,9.78
2020-01-12,Kaski,Seti,23.76,Seti Hydropower,22.5,10.49
2020-01-13,Kaski,Seti,22.48,Seti Hydropower,22.5,10.21
2020-01-14,Kaski,Seti,23.41,Seti Hydropower,22.5,10.1
2020-01-15,Kaski,Seti,21.75,Seti Hydropower,22.5,9.52
2020-01-16,Kaski,Seti,21.01,Seti Hydropower,22.5,9.53
2020-01-17,Kaski,Seti,23.39,Seti Hydropower,22.5,10.37
2020-01-18,Kaski,Seti,19.97,Seti Hydropower,22.5,8.93
2020-01-19,Kaski,Seti,22.79,Seti Hydropower,22.5,10.23
2020-01-20,Kaski,Seti,20.75,Seti Hydropower,22.5,9.59
2020-01-21,Kaski,Seti,20.16,Seti Hydropower,22.5,9.47
2020-01-22,Kaski,Seti,20.06,Seti Hydropower,22.5,9.56
2020-01-23,Kaski,Seti,22.84,Seti Hydropower,22.5,9.75
2020-01-24,Kaski,Seti,21.54,Seti Hydropower,22.5,9.58
2020-01-25,Kaski,Seti,22.04,Seti Hydropower,22.5,9.75
2020-01-26,Kaski,Seti,22.97,Seti Hydropower,22.5,10.02
2020-01-27,Kaski,Seti,25.48,Seti Hydropower,22.5,10.62
2020-01-28,Kaski,Seti,26.33,Seti Hydropower,22.5,10.59
2020-01-29,Kaski,Seti,25.83,Seti Hydropower,22.5,10.96
2020-01-30,Kaski,Seti,25.9,Seti Hydropower,22.5,10.7
2020-01-31,Kaski,Seti,27.23,Seti Hydropower,22.5,11.37
2020-02-01,Kaski,Seti,21.45,Seti Hydropower,22.5,9.32
2020-02-02,Kaski,Seti,20.4,Seti Hydropower,22.5,8.89
2020-02-03,Kaski,Seti,20.65,Seti Hydropower,22.5,9.35
2020-02-04,Kaski,Seti,23.04,Seti Hydropower,22.5,10.12
2020-02-05,Kaski,Seti,23.65,Seti Hydropower,22.5,10.44
2020-02-06,Kaski,Seti,20.86,Seti Hydropower,22.5,9.97
2020-02-07,Kaski,Seti,19.28,Seti Hydropower,22.5,8.88
2020-02-08,Kaski,Seti,20.95,Seti Hydropower,22.5,9.52
2020-02-09,Kaski,Seti,23.01,Seti Hydropower,22.5,9.74
2020-02-10,Kaski,Seti,22.1,Seti Hydropower,22.5,9.39
2020-02-11,Kaski,Seti,23.31,Seti Hydropower,22.5,10.64
2020-02-12,Kaski,Seti,22.19,Seti Hydropower,22.5,9.52
2020-02-13,Kaski,Seti,23.32,Seti Hydropower,22.5,9.84
2020-02-14,Kaski,Seti,22.23,Seti Hydropower,22.5,9.8
2020-02-15,Kaski,Seti,23.48,Seti Hydropower,22.5,10.18
2020-02-16,Kaski,Seti,25.8,Seti Hydropower,22.5,10.63
2020-02-17,Kaski,Seti,25.7,Seti Hydropower,22.5,10.79
2020-02-18,Kaski,Seti,24.83,Seti Hydropower,22.5,11.02
2020-02-19,Kaski,Seti,22.34,Seti Hydropower,22.5,9.61
2020-02-20,Kaski,Seti,22.61,Seti Hydropower,22.5,9.52
2020-02-21,Kaski,Seti,24.24,Seti Hydropower,22.5,10.74
2020-02-22,Kaski,Seti,19.49,Seti Hydropower,22.5,9.01
2020-02-23,Kaski,Seti,20.62,Seti Hydropower,22.5,9.1
2020-02-24,Kaski,Seti,23.63,Seti Hydropower,22.5,9.77
2020-02-25,Kaski,Seti,23.46,Seti Hydropower,22.5,9.98
2020-02-26,Kaski,Seti,26.21,Seti Hydropower,22.5,11.03
2020-02-27,Kaski,Seti,29.02,Seti Hydropower,22.5,12.26
2020-02-28,Kaski,Seti,24.25,Seti Hydropower,22.5,10.13
