date,district,temperature_c,rainfall_mm,humidity_pct,wind_speed_kmh,pressure_hpa
2020-01-01,Kaski,15.9,0.0,60.4,2.8,911.2
2020-01-02,Kaski,9.9,0.0,58.0,3.0,909.9
2020-01-03,Kaski,15.3,0.0,56.0,9.4,915.3
2020-01-04,Kaski,14.4,0.0,60.5,1.8,915.0
2020-01-05,Kaski,13.5,0.0,59.6,5.4,905.7
2020-01-06,Kaski,10.7,0.8,57.5,7.5,912.9
2020-01-07,Kaski,12.7,0.0,61.4,9.0,916.2
2020-01-08,Kaski,11.5,0.0,43.3,5.2,914.2
2020-01-09,Kaski,12.6,0.0,53.5,6.4,914.2
2020-01-10,Kaski,12.1,1.1,54.4,7.5,912.7
2020-01-11,Kaski,8.6,0.0,60.8,4.0,910.6
2020-01-12,Kaski,14.9,0.0,62.9,2.6,913.7
2020-01-13,Kaski,12.6,1.7,49.1,9.8,913.9
2020-01-14,Kaski,11.8,0.0,62.1,6.0,915.6
2020-01-15,Kaski,11.7,2.0,50.7,4.4,915.8
2020-01-16,Kaski,13.6,1.1,50.2,2.0,914.0
2020-01-17,Kaski,11.2,0.0,53.8,1.3,917.0
2020-01-18,Kaski,8.5,0.0,53.4,5.4,912.6
2020-01-19,Kaski,13.9,2.3,49.0,1.3,909.4
2020-01-20,Kaski,14.2,1.6,59.5,4.3,915.2
2020-01-21,Kaski,12.9,0.0,58.4,2.8,914.1
2020-01-22,Kaski,11.1,0.0,60.3,3.2,915.3
2020-01-23,Kaski,13.6,0.0,52.8,8.6,910.0
2020-01-24,Kaski,10.6,0.0,54.8,2.9,919.1
2020-01-25,Kaski,11.5,1.4,56.0,4.5,915.9
2020-01-26,Kaski,12.2,0.0,63.4,2.9,912.9
2020-01-27,Kaski,15.4,2.1,42.5,5.1,911.0
2020-01-28,Kaski,13.1,2.0,51.8,4.7,917.0
2020-01-29,Kaski,13.0,2.1,56.7,4.3,910.5
2020-01-30,Kaski,17.9,2.1,51.3,7.5,920.5
2020-01-31,Kaski,14.8,3.3,56.3,1.8,911.9
2020-02-01,Kaski,14.9,1.5,55.6,1.6,918.9
2020-02-02,Kaski,13.6,1.4,52.8,2.2,913.2
2020-02-03,Kaski,13.2,0.0,55.3,4.7,918.5
2020-02-04,Kaski,10.1,0.0,58.1,5.6,911.6
2020-02-05,Kaski,16.5,0.0,53.8,1.1,913.8
2020-02-06,Kaski,15.6,1.8,54.2,5.6,916.2
2020-02-07,Kaski,14.5,1.3,55.2,3.5,915.7
2020-02-08,Kaski,14.6,0.0,55.0,10.0,917.1
2020-02-09,Kaski,16.5,0.0,46.3,5.3,912.3
2020-02-10,Kaski,12.0,0.0,57.3,9.3,914.0
2020-02-11,Kaski,14.1,2.5,54.7,8.3,917.5
2020-02-12,Kaski,13.1,0.0,61.3,3.5,911.6
2020-02-13,Kaski,19.0,0.0,58.0,6.9,915.5
2020-02-14,Kaski,17.3,2.2,62.6,3.5,913.1
2020-02-15,Kaski,11.3,2.4,51.9,10.7,914.4
2020-02-16,Kaski,12.8,0.0,53.1,3.7,914.0
2020-02-17,Kaski,15.7,0.0,48.8,5.8,911.4
2020-02-18,Kaski,15.1,2.9,53.8,11.9,913.0
2020-02-19,Kaski,13.5,2.4,63.2,5.9,914.2
2020-02-20,Kaski,20.2,2.7,64.6,3.3,913.5
2020-02-21,Kaski,17.0,0.0,49.3,2.0,918.5
2020-02-22,Kaski,17.5,0.0,52.7,1.8,916.8
2020-02-23,Kaski,15.3,0.0,54.6,5.5,914.6
2020-02-24,Kaski,18.2,2.2,59.7,4.1,911.5
2020-02-25,Kaski,16.2,0.0,46.2,2.2,911.3
2020-02-26,Kaski,16.5,0.0,47.0,6.5,919.7
2020-02-27,Kaski,18.4,4.7,61.2,6.4,910.7
2020-02-28,Kaski,14.0,2.0,46.9,4.0,914.1
2020-02-29,Kaski,20.6,4.3,56.2,9.6,914.8
2020-03-01,Kaski,17.9,1.1,56.7,1.6,912.8
2020-03-02,Kaski,20.3,2.9,59.4,3.4,910.8
2020-03-03,Kaski,15.7,3.7,57.3,5.9,911.4
2020-03-04,Kaski,16.1,4.4,56.7,2.3,912.1
2020-03-05,Kaski,15.8,4.7,63.0,6.9,911.6
2020-03-06,Kaski,18.7,5.0,60.4,8.1,917.7
2020-03-07,Kaski,18.5,3.4,54.5,1.2,913.7
2020-03-08,Kaski,17.6,3.3,57.8,9.8,912.2
2020-03-09,Kaski,16.6,5.7,61.5,5.7,914.1
2020-03-10,Kaski,16.2,0.0,63.6,3.2,915.8
2020-03-11,Kaski,18.8,2.3,60.8,1.9,912.7
2020-03-12,Kaski,18.1,2.6,63.2,7.4,916.5
2020-03-13,Kaski,17.8,3.1,54.4,2.1,909.9
2020-03-14,Kaski,22.4,6.2,57.3,5.7,917.3
2020-03-15,Kaski,19.3,5.7,58.4,2.2,913.7
2020-03-16,Kaski,22.1,7.1,60.0,4.3,913.6
2020-03-17,Kaski,18.7,4.8,53.8,7.2,911.7
2020-03-18,Kaski,20.4,6.4,66.4,3.2,910.1
